Time,Period,iPhone,iPad,iPod,Mac
Q4/98,1,,,,0.944
Q1/99,2,,,,0.827
Q2/99,3,,,,0.905
Q3/99,4,,,,0.772
Q4/99,5,,,,1.377
Q1/00,6,,,,1.043
Q2/00,7,,,,1.016
Q3/00,8,,,,1.122
Q4/00,9,,,,0.659
Q1/01,10,,,,0.751
Q2/01,11,,,,0.827
Q3/01,12,,,,0.85
Q4/01,13,,,0.125,0.746
Q1/02,14,,,0.062,0.813
Q2/02,15,,,0.054,0.808
Q3/02,16,,,0.14,0.734
Q4/02,17,,,0.219,0.743
Q1/03,18,,,0.08,0.711
Q2/03,19,,,0.304,0.771
Q3/03,20,,,0.336,0.787
Q4/03,21,,,0.733,0.829
Q1/04,22,,,0.807,0.749
Q2/04,23,,,0.86,0.876
Q3/04,24,,,2.016,0.836
Q4/04,25,,,4.58,1.046
Q1/05,26,,,5.311,1.07
Q2/05,27,,,6.155,1.182
Q3/05,28,,,6.451,1.236
Q4/05,29,,,14.043,1.254
Q1/06,30,,,8.526,1.112
Q2/06,31,,,8.111,1.327
Q3/06,32,,,8.729,1.61
Q4/06,33,,,21.066,1.606
Q1/07,34,,,10.549,1.517
Q2/07,35,0.27,,9.815,1.764
Q3/07,36,1.119,,10.2,2.164
Q4/07,37,2.315,,22.121,2.319
Q1/08,38,1.703,,10.644,2.289
Q2/08,39,0.717,,11.011,2.496
Q3/08,40,6.892,,11.052,2.611
Q4/08,41,4.363,,22.727,2.524
Q1/09,42,3.793,,11.013,2.216
Q2/09,43,5.208,,10.215,2.603
Q3/09,44,7.367,,10.177,3.053
Q4/09,45,8.737,,20.97,3.362
Q1/10,46,8.752,,10.885,2.943
Q2/10,47,8.398,3.27,9.406,3.472
Q3/10,48,14.102,4.188,9.051,3.885
Q4/10,49,16.235,7.331,19.446,4.134
Q1/11,50,18.647,4.694,9.017,3.76
Q2/11,51,20.338,9.246,7.535,3.947
Q3/11,52,17.073,11.123,6.622,4.894
Q4/11,53,37.044,15.434,15.397,5.198
Q1/12,54,35.064,11.798,7.673,4.017
Q2/12,55,26.028,17.042,6.751,4.02
Q3/12,56,26.91,14.036,5.344,4.923
Q4/12,57,47.789,22.86,12.679,4.061
Q1/13,58,37.43,19.477,5.633,3.952
Q2/13,59,31.241,14.617,4.569,3.754
Q3/13,60,33.797,14.079,3.498,4.574
Q4/13,61,51.025,26.035,6.049,4.837
Q1/14,62,43.719,16.35,2.761,4.136
Q2/14,63,35.203,13.276,2.926,4.413
Q3/14,64,39.272,12.316,2.641,5.52
Q4/14,65,74.468,21.419,,5.519
Q1/15,66,61.17,12.623,,4.563
Q2/15,67,47.534,10.931,,4.796
Q3/15,68,48.05,9.88,,5.71
Q4/15,69,74.78,16.12,,5.31
Q1/16,70,51.2,10.25,,4.03
Q2/16,71,40.399,9.95,,4.252
Q3/16,72,45.513,9.267,,4.886
Q4/16,73,78.29,13.081,,5.374
Q1/17,74,50.763,8.922,,4.199
Q2/17,75,41.026,11.424,,4.292
Q3/17,76,46.677,10.326,,5.386
Q4/17,77,77.316,13.17,,5.112
Q1/18,78,52.217,9.113,,4.078